User,User agent,Time range,Service,Application,Command,Status,Count,Usage (TSTUs),Delay (s)
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:55 PM - 6:00 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Framework","ApiResourceOptions.Options","Normal",1,0.003,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:55 PM - 6:00 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Web-Api","IdentityPickerIdentities.GetIdentities","Normal",1,0.003,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:45 PM - 5:50 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Framework","ApiResourceOptions.Options","Normal",1,0.003,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 6:00 PM - 6:05 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","DistributedTask","TaskAgentPoolMaintenanceJobs.GetAgentPoolMaintenanceJobs","Normal",1,0.003,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 6:00 PM - 6:05 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Framework","ApiResourceOptions.Options","Normal",1,0.002,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:50 PM - 5:55 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","ClientTrace","ClientTraceEvents.PublishEvents","Normal",2,0.002,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 6:00 PM - 6:05 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","DistributedTask","TaskAgentJobRequestsLegacy.GetAgentRequestsForAgent","Normal",1,0.002,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:55 PM - 6:00 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Framework","Permissions2.HasPermissions","Normal",1,0.001,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:50 PM - 5:55 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Framework","Permissions2.HasPermissions","Normal",1,0.001,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 6:00 PM - 6:05 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","SignalR","TaskAgentPoolHub.Negotiate","Normal",1,0.001,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:55 PM - 6:00 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Web Access","AdminAgentPool.index","Normal",1,0.001,0.000
"bbusines77","Mozilla/5.0 (Linux; Android 4.4.2; SM-G313HZ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Mobile Safari/537.36","3/30/2019 5:50 PM - 5:55 PM","TFS (https://dev.azure.com/BuatApkOlshop-01/)","Web-Api","SecurityRoleDefintions.GetRoleDefinitions","Normal",1,0.001,0.000
